T,Mw,Rrup (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,7.36,117.75,1,0,0,75,316.46,2.169,3.965912937
0.01,6.19,17.9,0,0,0,90,408.93,2.417221,4.096610727
0.01,6.19,10.04,0,0,0,90,289.56,2.417221,5.925501916
0.01,6.19,13.24,0,0,0,90,256.82,2.417221,5.582138636
0.01,6.19,16.24,0,0,0,90,527.92,2.417221,5.674700823
0.01,6.61,58.24,1,0,0,50,280.56,2.417221,3.45867031
0.01,6.61,173.88,1,0,0,50,338.539,2.417221,3.450750201
0.01,6.61,112.52,1,0,0,50,438.339,2.417221,2.436207477
0.01,6.61,63.33,1,0,0,50,235,3.220357143,4.19953163
0.01,6.61,22.63,1,0,0,50,450.28,1.52,5.698614323
0.01,6.61,92.59,1,0,0,50,477.22,2.417221,3.28318968
0.01,6.61,89.72,1,0,0,50,813.48,2.417221,2.875508485
0.01,6.61,96.93,1,0,0,50,301.95,1.04,3.612316432
0.01,6.61,30.19,1,0,0,50,684.935,2.417221,4.463452207
0.01,6.61,61.64,1,0,0,50,394.18,2.417221,3.162231193
0.01,6.61,46.78,1,0,0,50,308.35,2.417221,4.454256637
0.01,6.61,139.8,1,0,0,50,338.539,2.417221,3.596864349
0.01,6.61,130.98,1,0,0,50,684.935,2.417221,2.064001459
0.01,6.61,25.89,1,0,0,50,316.46,2.169,5.348917107
0.01,6.61,27.4,1,0,0,50,425.34,2.417221,4.825846432
0.01,6.61,19.3,1,0,0,50,602.1,2.417221,5.803120197
0.01,6.61,25.07,1,0,0,50,821.6894831,2.417221,5.09162958
0.01,6.61,22.57,1,0,0,50,670.84,0.32,4.9491989
0.01,6.61,193.91,1,0,0,50,271.441,2.417221,2.179606644
0.01,6.61,109.74,1,0,0,50,438.339,2.417221,2.213195237
0.01,6.61,110.18,1,0,0,50,438.339,2.417221,2.142834066
0.01,6.61,28.99,1,0,0,50,452.86,2.417221,4.865957277
0.01,6.61,38.97,1,0,0,50,529.09,2.417221,4.926181241
0.01,6.61,70.55,1,0,0,50,297.917,2.40625,3.316694936
0.01,6.61,53.34,1,0,0,50,597.12,2.417221,4.1734345
0.01,6.61,110.03,1,0,0,50,338.539,2.417221,3.649608462
0.01,6.61,126.78,1,0,0,50,442.88,2.417221,2.666145177
0.01,6.61,31.41,1,0,0,50,684.935,2.417221,5.134114555
0.01,6.61,63.79,1,0,0,50,669.48,2.417221,3.668337712
0.01,6.61,61.84,1,0,0,50,445.983055,2.417221,4.220619318
0.01,6.61,70.23,1,0,0,50,347.67,2.417221,3.340436032
0.01,6.61,41.38,1,0,0,50,298.68,2.966,4.732854442
0.01,6.61,62.23,1,0,0,50,486,2.417221,3.933318762
0.01,6.24,4.74,0,0,2,80,288.77,2.417221,5.975062857
0.01,6.5,49.38,1,0,2.3,12,424.8,2.417221,3.36353452
0.01,6.5,35.67,1,0,2.3,12,274.5,2.417221,4.302590499
0.01,6.5,81,1,0,2.3,12,274.5,2.417221,4.052133278
0.01,6.5,102.16,1,0,2.3,12,659.6,2.417221,3.535961793
0.01,6.5,15.82,1,0,2.3,12,424.8,2.417221,5.829548124
0.01,6.8,5.46,1,0,3.8,58,659.6,2.417221,6.457347908
0.01,7.35,120.81,1,0,1,25,338.6,2.417221,4.312117597
0.01,7.35,28.79,1,0,1,25,338.6,2.417221,4.678502735
0.01,7.35,13.94,1,0,1,25,659.6,2.417221,5.85761695
0.01,7.35,91.14,1,0,1,25,274.5,2.417221,4.683014254
0.01,7.35,194.55,1,0,1,25,274.5,2.417221,3.568645708
0.01,7.35,151.16,1,0,1,25,424.8,2.417221,3.288417547
0.01,7.35,6.78,1,0,1,25,766.77,2.417221,6.692063536
0.01,5.74,6.13,0,0,3.1,80,597.12,1.68,5.365752513
0.01,5.74,10.67,0,0,3.1,80,1428,1.62,4.773271589
0.01,5.74,9.02,0,0,3.1,80,270.84,1.62,5.665308097
0.01,5.74,7.42,0,0,3.1,80,349.85,1.62,5.555318266
0.01,5.74,5.7,0,0,3.1,80,221.78,1.88,5.579279879
0.01,5.74,3.11,0,0,3.1,80,663.31,1.63,5.983963232
0.01,5.74,33.83,0,0,3.1,80,281.61,1.68,3.709545035
0.01,5.74,20.67,0,0,3.1,80,370.789,1.11,4.626101911
0.01,5.74,20.67,0,0,3.1,80,370.789,1.11,4.589929586
0.01,5.74,19.7,0,0,3.1,80,370.789,1.96,4.597461289
